Area Code,Library_Median1,Library_Value1,Library_Score1,Voters_Median1,Voters_Value1,Voters_Score1,Hate Crimes_Median1,Hate Crimes_Value1,Hate Crimes_Score1,Heritage_Median1,Heritage_Value1,Heritage_Score1,Domain1,Area Code,Community_Median2,Community_Value2,Community_Score2,Sports_Median2,Sports_Value2,Sports_Score2,Public Transport_Median2,Public Transport_Value2,Public Transport_Score2,Faith_Median2,Faith_Value2,Faith_Score2,Volunteering_Median2,Volunteering_Value2,Volunteering_Score2,Domain2,Area Code,Unemployment Benefits_Median3,Unemployment Benefits_Value3,Unemployment Benefits_Score3,Social Housing_Median3,Social Housing_Value3,Social Housing_Score3,Credit_Median3,Credit_Value3,Credit_Score3,FSM_Median3,FSM_Value3,FSM_Score3,Unemployment_Median3,Unemployment_Value3,Unemployment_Score3,Child Poverty_Median3,Child Poverty_Value3,Child Poverty_Score3,Annual Income_Median3,Annual Income_Value3,Annual Income_Score3,Income After Housing_Median3,Income After Housing_Value3,Income After Housing_Score3,Homelessness_Median3,Homelessness_Value3,Homelessness_Score3,Home Ownership_Median3,Home Ownership_Value3,Home Ownership_Score3,Food Banks_Median3,Food Banks_Value3,Food Banks_Score3,Domain3,Area Code,Fires_Median4,Fires_Value4,Fires_Score4,Traffic Accidents_Median4,Traffic Accidents_Value4,Traffic Accidents_Score4,Fly Tipping_Median4,Fly Tipping_Value4,Fly Tipping_Score4,Recycling Rate_Median4,Recycling Rate_Value4,Recycling Rate_Score4,Noise Levels_Median4,Noise Levels_Value4,Noise Levels_Score4,Park Distance_Median4,Park Distance_Value4,Park Distance_Score4,Domain4,Area Code,KS Attainment_Median5,KS Attainment_Value5,KS Attainment_Score5,Absentism_Median5,Absentism_Value5,Absentism_Score5,Youth Training_Median5,Youth Training_Value5,Youth Training_Score5,Domain5,Area Code,Obesity Rates_Median6,Obesity Rates_Value6,Obesity Rates_Score6,Child Obesity_Median6,Child Obesity_Value6,Child Obesity_Score6,Teenage Pregnancy_Median6,Teenage Pregnancy_Value6,Teenage Pregnancy_Score6,Life Expectancy_Median6,Life Expectancy_Value6,Life Expectancy_Score6,NHS_Median6,NHS_Value6,NHS_Score6,Domain6,Index Score
E07000223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
